OID_,FID_BLM_AK,OBJECTID,AGENCY_NAM,ADMIN_AGEN,ADMIN_UNIT,ADMIN_UN_1,ADMIN_DEPT,ADMIN_DE_1,ADMIN_ST,Date_Proce,Shape_Leng,Shape_Area,FID_19a_wc,FID_Subuni,Region,UnitSub,SubLabel,SubLetter,Shape_Le_1,Shape_Ar_1,SqMi,FID_19Awca,Id,sqMi_1,Name,sqMi_calc
1263,361921,361922,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,210.304992348836720,189.760000151917438,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.000004468607673
1264,361922,361923,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,1088.388181110000005,6819.480000419999669,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.000599946055518
1265,361923,361924,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,388.126579211433182,5348.695000290000280,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.000470503346152
1266,361924,361925,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,2197.031381610000153,197966.505000000004657,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.017404572692700
1267,361925,361926,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,4867.102821419999600,1332047.110000000102445,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.117008510867000
1268,361926,361927,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,1476.813751160000038,123466.885001000002376,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.010844806569600
1269,361927,361928,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,6128.611276589999761,971205.224999999976717,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.085369167212500
1270,361928,361929,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,2689.566579540000021,327862.579999000008684,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.028810831552400
1271,361929,361930,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,5383.594602699999996,1151809.169999999925494,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.101189401314000
1272,361930,361931,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,2115.586140110000088,131469.720001000008779,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.011552112308600
1273,361931,361932,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,19573.063198200001352,16458553.160000000149012,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,1.444321658660000
1274,361932,361933,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,1176.836054540000077,3153.750001339999926,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.000277374196817
1275,361933,361934,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,9767.660581199999797,1302350.659999999916181,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.114570425180000
1276,361934,361935,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,1282.032807929999990,21628.114998799999739,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.001901927482350
1277,361935,361936,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,18416.571646799999144,1800747.810000000055879,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.158246564608000
1278,361936,361937,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,17195.635099099999934,9194748.925000000745058,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.807822641193000
1279,361937,361938,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,15882.234093299999586,13120186.474999999627471,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,1.153071372180000
1280,361938,361939,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,11471.865390400000251,2942642.285000000149012,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.258396266861000
1281,361939,361940,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,4956.635345310000048,803622.155000000027940,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.070554299267800
1282,361940,361941,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,63943.811150499997893,50410470.354999996721745,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,4.436707284200000
1283,361941,361942,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,ANCSA Village,Kuskokwim Corporation,Alaska Native Lands Patented or Interim Conveyed,NTVPIC,AK,7/12/2023 0:00:00,905.310594500804996,2351.019999900000130,1,21,3,19A,19A,A,996844.271403999999166,14770135694.000000000000000,5702.781274160000066,0,0,2531.3400879,19A Proposed WCA,0.000206632746514
