FID,FID_BLM_AK,SMA_ID,IWA_ID,FAU_ID,Shape_Leng,AGENCY_NAM,ADMIN_AGEN,ADMIN_UNIT,ADMIN_UN_1,ADMIN_DEPT,ADMIN_DE_1,ADMIN_TYPE,Inland_Wat,ADMIN_ST,Date_Proce,Shape_STAr,Shape_STLe,FID_Predat,REGION,EFFSTART,EFFEND,SQMI,DESC_,INT_MGT_PL,AREANAME,Shape_Le_1,Shape_Area,SQKM,STATUS,UNIT,UNIT_LABEL,TYPE,SPECIES,sqMi_calc
886,123923,4897,2386,306,4190.227935040000375,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,888937.122116000042297,4190.227935040000375,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,0.3432210
887,123924,4897,2386,306,1395.432775949999950,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,95630.639190700007020,1395.432775949999950,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,0.0369232
888,123925,4897,2386,306,1142.084942700000056,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,72963.639232600005926,1142.084942700000056,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,0.0281714
889,123926,4897,2386,306,2257.368630859999939,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,284539.819224999984726,2257.368630859999939,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,0.1098610
890,123927,4897,2386,306,2511.207116109999788,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,401123.144012000004295,2511.207116109999788,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,0.1548750
891,123928,4897,2386,306,1311.056607600000007,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,67563.937957799993455,1311.056607600000007,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,0.0260866
892,123929,4897,2386,306,2713.318902689999959,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,490266.774306999985129,2713.318902689999959,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,0.1892930
893,123930,4897,2386,306,2120.368398399999933,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,330669.089745000004768,2120.368398399999933,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,0.1276720
894,123931,4897,2386,306,2633.032198800000060,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,418452.295135000022128,2633.032198800000060,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,0.1615650
895,123932,4897,2386,306,2840.695527049999782,Undetermined,UND, ,Water,Undetermined,UND,Water,State,AK,8/17/2021 0:00:00,487798.180419999989681,2840.695527049999782,69,3,11/1/2020 0:00:00,,5578.533892479999849,"19D, Kuskokwim R dra upstr Selatna, ex Black R; dnstr 4th July, Swift Fork, Slow Fork & Tonzona E of 153 10",IMP VII,Unit 19D-East Wolf Control Focus Area,714636.870928999967873,14448336452.799999237060547,14448.336451999999554,Active,19D,19D,Focus Area,W,0.1883400
